INDIVIDUAL_ID,AGERAW,GENDER,BBC_VMF,SKY_VMF,VIRGIN_VMF,ALBA,BBC1,BBC2,BBC4,CBBC,CBEEBIES,NEWS,PARLIAMENT
I-1009740_1,34,2,1,5,4,0,49.3,14.6,0.8,0.8,31.2,3.3,0
I-1009706_1,29,2,1,1,6,0,81.5,18.5,0,0,0,0,0
I-1009696_1,48,2,8,3,3,0,88.7,10.8,0,0,0,0.5,0
I-1009650_1,50,1,10,6,0,0,60.5,35.8,3.7,0,0,0,0
I-1009649_1,61,2,3,1,0,0,5.1,1.1,0,0,93.9,0,0
I-1009643_1,22,2,10,4,0,0,70.2,21.1,0,0,0,8.7,0
I-1009632_1,52,1,10,3,2,0.1,35.6,45.5,5,2.8,0.1,10.4,0.5
I-1009632_1,53,1,10,3,2,0.1,35.6,45.5,5,2.8,0.1,10.4,0.5
I-1009629_1,64,2,8,4,4,0,59.9,36,0.3,0.2,0,3.5,0
I-1009629_1,65,2,8,4,4,0,59.9,36,0.3,0.2,0,3.5,0
I-1009607_1,26,1,8,5,6,0,64.6,13,13.5,0,0,8.8,0
I-1009597_1,66,1,9,0,0,0,85.1,8.1,0,0,0,6.8,0
I-1009562_1,45,1,1,4,5,0,17.5,69.8,6.3,0,6.3,0,0
I-1009537_1,72,2,10,7,7,0,88.2,8.3,3.5,0,0,0.1,0
I-1009528_1,28,1,8,4,6,0,28.5,0,0,52.8,2.7,16,0
I-1009522_1,39,1,8,6,6,0,49.8,21.3,1.6,0,0,27.3,0
I-1009512_1,51,1,7,5,7,2.7,47.9,12.9,30.4,0,0,6.3,0
I-1009469_1,64,2,4,5,5,0,29.8,37.2,33,0,0,0,0
I-1009469_1,65,2,4,5,5,0,29.8,37.2,33,0,0,0,0
I-1009461_1,46,2,5,1,1,0,100,0,0,0,0,0,0
I-1009450_1,42,2,1,6,6,0,65.1,34.9,0,0,0,0,0
I-1009450_1,43,2,1,6,6,0,65.1,34.9,0,0,0,0,0
I-1009433_1,60,2,5,8,8,0,91.4,6.4,0.2,0,0.2,1.7,0
I-1009409_1,41,2,4,8,0,0,70.9,19.1,8.2,0,0,1.6,0.1
I-1009409_1,42,2,4,8,0,0,70.9,19.1,8.2,0,0,1.6,0.1
I-1009404_1,33,1,5,6,7,43.9,27.1,1.9,0,0,0,27.1,0
I-1009400_1,36,1,7,10,0,0,78.7,20.2,0,0,0,1.1,0
I-1009390_1,61,2,9,0,0,0,51.6,5.6,0.2,2.6,0,39.9,0.2
I-1009358_1,35,2,6,7,4,0,60.5,36.1,0,0,0,3.4,0
I-1009325_1,42,1,10,3,2,0,76.3,14.6,1.2,0,1.8,6.2,0
I-1009277_1,42,1,6,6,6,0,38.9,18.5,0,0,6.6,29.8,6.2
I-1009277_1,43,1,6,6,6,0,38.9,18.5,0,0,6.6,29.8,6.2
I-1009276_1,56,1,10,8,6,1,64,12,17.6,0,0,4.6,0.9
I-1009268_1,53,2,6,0,0,0,76.2,11.4,0.1,0,2.7,3,6.6
I-1009233_1,38,2,8,10,0,0,53.3,31.2,15.5,0,0,0,0
I-1009225_1,68,2,10,6,8,0,66.5,33.5,0,0,0,0,0
I-1009181_1,44,2,6,7,0,0,69.4,12.2,0.3,0,0,11,7.1
I-1009181_1,45,2,6,7,0,0,69.4,12.2,0.3,0,0,11,7.1
I-1009179_1,31,2,1,3,0,0,84.8,13.5,0,0,0,1.6,0
I-1009176_1,67,2,0,0,0,0,99.8,0.2,0,0,0,0,0
I-1009095_1,50,2,10,6,6,0,71.3,11.9,15.1,0,0,1.7,0
I-1009092_1,59,2,2,6,6,94.1,1.7,4.2,0,0,0,0,0
I-1009072_1,32,2,1,1,1,0,100,0,0,0,0,0,0
I-1009065_1,61,2,5,7,5,0,87.5,4,4.6,0,0,4,0
I-1009039_1,27,2,3,0,7,0,73.1,20.8,0,0,0,6.1,0
I-1009039_1,28,2,3,0,7,0,73.1,20.8,0,0,0,6.1,0
I-1009032_1,40,2,5,4,0,0,41.2,47.8,11,0,0,0,0
I-1009032_1,41,2,5,4,0,0,41.2,47.8,11,0,0,0,0
I-1009001_1,38,2,9,8,7,1.6,49,41.6,6.3,0,0,1.6,0
I-1009001_1,39,2,9,8,7,1.6,49,41.6,6.3,0,0,1.6,0
I-1008933_1,45,2,0,8,0,0,68.5,30.5,0.9,0,0,0,0
I-1008930_1,56,2,6,8,8,0.1,45.5,26.8,1.7,0,5.4,20.4,0
I-1008922_1,44,2,9,9,8,0.2,79.1,15.2,1.6,0,0,3.5,0.5
I-1008913_1,46,2,9,0,0,0,75,22.6,1.2,0,0,1.2,0
I-1008912_1,52,2,5,3,3,0,44.4,15.8,6.5,0,0,27.9,5.5
I-1008899_1,47,2,5,8,5,0,84.7,5.2,2.1,0,8,0,0
I-1008894_1,60,1,5,6,0,0,37.2,0,62.8,0,0,0,0
I-1008890_1,61,1,0,5,3,0,34.6,52.9,1.4,0,0,11.1,0
