INDIVIDUAL_ID,STREAM_LABEL,AVG_DURATION_SEC
I-1003396_1,BBC2 England,10925.666666666666
I-1003396_1,BBC4 TV - TV,4089.25
I-1003398_1,BBC News - TV,178
I-1003398_1,BBC1 South West,46264
I-1003398_1,BBC2 England,3740.5555555555557
I-1003449_1,BBC News - TV,558
I-1003449_1,BBC1 South East,73567.8
I-1003449_1,BBC2 England,11318.1
I-1003457_1,BBC Alba - TV,978.6666666666666
I-1003457_1,BBC1 Scotland,10805.875
I-1003457_1,BBC2 Scotland,6469.833333333333
I-1003457_1,BBC4 TV - TV,58
I-1003474_1,BBC News - TV,1533.6
I-1003474_1,BBC Parliament - TV,778
I-1003474_1,BBC1 London,43591.90909090909
I-1003474_1,BBC2 England,3488.8888888888887
I-1003474_1,BBC4 TV - TV,7148
I-1003479_1,BBC News - TV,1197
I-1003479_1,BBC Parliament - TV,118
I-1003479_1,BBC1 West,2717.6
I-1003479_1,BBC2 England,2148.1428571428573
I-1003479_1,BBC4 TV - TV,4534.333333333333
I-1003482_1,BBC News - TV,1798.5
I-1003482_1,BBC1 London,12710.833333333334
I-1003482_1,BBC2 England,1931.25
I-1003496_1,BBC News - TV,4466
I-1003496_1,BBC1 London,80484.6
I-1003496_1,BBC2 England,7340.2
I-1003496_1,BBC4 TV - TV,2715.3333333333335
I-1003500_1,BBC News - TV,1439
I-1003500_1,BBC1 London,27054.428571428572
I-1003500_1,BBC2 England,1641
I-1003502_1,BBC News - TV,4015
I-1003502_1,BBC1 North East and Cumbria,7718
I-1003502_1,BBC2 England,4967
I-1003502_1,BBC4 TV - TV,1136
I-1003502_1,CBeebies - TV,5331
I-1003527_1,BBC News - TV,178
I-1003527_1,BBC1 Wales,14802.125
I-1003527_1,BBC2 Wales,2641.8571428571427
I-1003527_1,BBC4 TV - TV,1574.2857142857142
I-1003597_1,BBC1 North East and Cumbria,11938.916666666666
I-1003597_1,BBC2 England,12155.90909090909
I-1003597_1,BBC4 TV - TV,1857.4
I-1003597_1,CBBC - TV,103.5
I-1003597_1,CBeebies - TV,1646.75
I-1003641_1,BBC News - TV,776
I-1003641_1,BBC1 North East and Cumbria,25889.1
I-1003641_1,BBC2 England,11391.9
I-1003641_1,BBC4 TV - TV,2756.25
I-1003641_1,CBeebies - TV,326.5
I-1003649_1,BBC1 Yorkshire and Lincolnshire,11151.5
I-1003649_1,BBC2 England,3897.6666666666665
I-1003649_1,BBC4 TV - TV,3385.5
I-1003674_1,BBC1 Wales,1919
I-1003675_1,BBC News - TV,1908.4545454545455
I-1003675_1,BBC Parliament - TV,118
I-1003675_1,BBC1 North East and Cumbria,10410.083333333334
I-1003675_1,BBC2 England,2310
I-1003675_1,BBC4 TV - TV,714.5
I-1003675_1,CBBC - TV,118
I-1003708_1,BBC1 West,2759
I-1003708_1,BBC2 England,118
I-1003725_1,BBC1 North West,16554
I-1003725_1,BBC2 England,5182
I-1003725_1,BBC4 TV - TV,3527
I-1003730_1,BBC1 North West,2457.5
I-1003730_1,BBC2 England,1138
I-1003734_1,BBC News - TV,118.5
I-1003734_1,BBC1 London,9260.833333333334
I-1003734_1,BBC2 England,3399.1
I-1003734_1,CBeebies - TV,716.8
I-1003750_1,BBC Alba - TV,7791.916666666667
I-1003750_1,BBC News - TV,9912.416666666666
I-1003750_1,BBC1 Midlands East,21188.583333333332
I-1003750_1,BBC2 England,478.4
I-1003750_1,BBC4 TV - TV,7086.833333333333
I-1003750_1,CBeebies - TV,118
I-1003752_1,BBC News - TV,1189.375
I-1003752_1,BBC Parliament - TV,298
I-1003752_1,BBC1 East of England,757.8333333333334
I-1003752_1,BBC2 England,817
I-1003752_1,BBC4 TV - TV,118
I-1003752_1,CBBC - TV,2599
I-1003762_1,BBC News - TV,22648.125
I-1003762_1,BBC Parliament - TV,14735.666666666666
I-1003762_1,BBC1 Wales,13314.75
I-1003762_1,BBC2 Wales,34201.375
I-1003762_1,BBC4 TV - TV,11969.5
I-1003775_1,BBC1 Midlands West,13003
I-1003775_1,BBC4 TV - TV,7197
I-1003812_1,BBC News - TV,3901.75
I-1003812_1,BBC1 Scotland,37541.4
I-1003812_1,BBC2 Scotland,6476.2
I-1003812_1,BBC4 TV - TV,929
I-1003818_1,BBC1 Wales,6480.333333333333
I-1003818_1,BBC2 Wales,2680.5
I-1003818_1,BBC4 TV - TV,118
I-1003831_1,BBC1 North East and Cumbria,17921
I-1003831_1,BBC2 England,59
I-1003831_1,BBC4 TV - TV,328
I-1003832_1,BBC1 Yorkshire and Lincolnshire,834
I-1003832_1,BBC2 England,4435
I-1003832_1,BBC4 TV - TV,5098
I-1003885_1,BBC1 North East and Cumbria,5578
I-1003885_1,BBC2 England,598
I-1003885_1,CBBC - TV,298
I-1003890_1,BBC News - TV,19014
I-1003890_1,BBC Parliament - TV,599
I-1003890_1,BBC1 East of England,52262.166666666664
I-1003890_1,BBC2 England,10795.916666666666
I-1003890_1,BBC4 TV - TV,992.2
I-1003891_1,BBC News - TV,2488
I-1003891_1,BBC1 North East and Cumbria,1267.2727272727273
I-1003891_1,BBC2 England,88.5
I-1003891_1,BBC4 TV - TV,3237
I-1003891_1,CBBC - TV,1495.6666666666667
I-1003891_1,CBeebies - TV,357.5
I-1003893_1,BBC News - TV,599
I-1003893_1,BBC1 Midlands East,20568
I-1003893_1,BBC2 England,2036
